occ,occ1990dd,year
921,445,1970
922,447,1970
923,95,1970
924,89,1970
925,447,1970
926,207,1970
931,471,1970
932,459,1970
933,469,1970
934,464,1970
935,457,1970
940,405,1970
941,405,1970
942,468,1970
943,469,1970
944,458,1970
945,469,1970
950,405,1970
952,468,1970
953,462,1970
954,177,1970
960,425,1970
961,417,1970
962,426,1970
963,423,1970
964,418,1970
965,423,1970
976,469,1970
980,468,1970
981,436,1970
982,405,1970
983,408,1970
984,405,1970
986,469,1970
991,991,1970
3,4,1980
4,4,1980
5,22,1980
6,418,1980
7,7,1980
8,8,1980
9,33,1980
13,13,1980
14,14,1980
15,15,1980
16,18,1980
17,22,1980
18,19,1980
19,22,1980
23,23,1980
24,24,1980
25,25,1980
26,26,1980
27,27,1980
28,28,1980
29,29,1980
33,33,1980
34,34,1980
35,35,1980
36,36,1980
37,37,1980
43,43,1980
44,44,1980
45,45,1980
46,47,1980
47,47,1980
48,48,1980
49,59,1980
53,53,1980
54,59,1980
55,55,1980
56,56,1980
57,57,1980
58,59,1980
59,59,1980
63,218,1980
64,64,1980
65,65,1980
66,66,1980
67,68,1980
68,68,1980
69,69,1980
73,73,1980
74,74,1980
75,75,1980
76,76,1980
77,77,1980
78,78,1980
79,79,1980
83,83,1980
84,84,1980
85,85,1980
86,86,1980
87,87,1980
88,88,1980
89,89,1980
95,95,1980
96,96,1980
97,97,1980
98,98,1980
99,99,1980
103,103,1980
104,104,1980
105,105,1980
106,106,1980
113,154,1980
114,154,1980
115,154,1980
116,154,1980
117,154,1980
118,154,1980
119,154,1980
123,154,1980
124,154,1980
125,154,1980
126,154,1980
127,154,1980
128,154,1980
129,154,1980
133,154,1980
134,154,1980
135,154,1980
136,154,1980
137,154,1980
138,154,1980
139,154,1980
143,154,1980
144,154,1980
145,154,1980
146,154,1980
147,154,1980
148,154,1980
149,154,1980
153,154,1980
154,154,1980
155,155,1980
156,156,1980
157,157,1980
158,158,1980
159,159,1980
163,163,1980
164,164,1980
165,165,1980
166,166,1980
167,167,1980
168,169,1980
169,169,1980
173,173,1980
174,174,1980
175,466,1980
176,176,1980
177,176,1980
178,178,1980
179,178,1980
183,183,1980
184,184,1980
185,185,1980
186,186,1980
187,187,1980
188,188,1980
189,189,1980
193,193,1980
194,194,1980
195,195,1980
197,13,1980
198,198,1980
199,199,1980
203,203,1980
204,204,1980
205,205,1980
206,206,1980
207,207,1980
208,208,1980
213,214,1980
214,214,1980
215,214,1980
216,214,1980
217,217,1980
218,218,1980
223,223,1980
224,224,1980
225,225,1980
226,226,1980
227,227,1980
228,228,1980
229,229,1980
233,233,1980
234,234,1980
235,235,1980
243,243,1980
253,253,1980
254,254,1980
255,255,1980
256,256,1980
257,274,1980
